
joesguns             |  28.9m / 62.5m  (46% full)  | 9.2 / 5  (100.0%) | 0.5s/growth (20 over 11s)
nectar-net           |  41.0m / 68.8m  (59% full)  | 12.8 / 7  (100.0%) | 0.7s/growth (25 over 17s)
hong-fang-tea        |  44.3m / 75.0m  (59% full)  | 10.6 / 5  (100.0%) | 0.9s/growth (20 over 19s)
harakiri-sushi       |  57.2m / 100.0m (57% full)  | 7.5 / 5  (100.0%) | 0.4s/growth (40 over 19s)
neo-net              |  69.2m / 125.0m (55% full)  | 8.4 / 8  (100.0%) | 0.9s/growth (25 over 23s)
zer0                 | 100.8m / 187.5m (53% full)  | 10.9 / 8  (100.0%) | 0.9s/growth (40 over 39s)
max-hardware         | 250.0m / 250.0m (100% full) | 9.5 / 5  (100.0%) | 1.2s/growth (30 over 36s)
iron-gym             | 103.2m / 500.0m (20% full)  | 10.0 / 10 (100.0%) | 2.3s/growth (20 over 46s)
phantasy             | 600.0m / 600.0m (100% full) | 7.0 / 7  (100.0%) | 0.9s/growth (35 over 34s)
crush-fitness        |   1.0b / 1.0b   (100% full) | 12.0 / 12 (100.0%) | 3.7s/growth (32 over 119s)
silver-helix         | 553.7m / 1.1b   (49% full)  | 12.8 / 10 (100.0%) | 2.7s/growth (30 over 81s)
omega-net            |   1.7b / 1.7b   (100% full) | 15.6 / 11 (100.0%) | 4.4s/growth (30 over 133s)
johnson-ortho        |   1.1b / 1.8b   (60% full)  | 17.3 / 17 (100.0%) | 3s/growth (65 over 195s)
the-hub              |   3.7b / 4.9b   (76% full)  | 15.4 / 15 (100.0%) | 3.5s/growth (50 over 177s)
computek             |   2.5b / 5.6b   (44% full)  | 20.5 / 19 ( 90.9%) | 4.5s/growth (60 over 272s)
summit-uni           |   4.1b / 5.7b   (72% full)  | 22.6 / 19 ( 75.7%) | 7.5s/growth (50 over 379s)
rothman-uni          |   2.3b / 5.8b   (39% full)  | 16.0 / 16 ( 87.4%) | 6s/growth (41 over 249s)
millenium-fitness    |   9.2m / 6.3b   (0% full)   | 27.4 / 16 ( 62.1%) | 12s/growth (44 over 531s)
aevum-police         |   5.1b / 6.7b   (75% full)  | 31.9 / 25 ( 69.6%) | 13.9s/growth (36 over 503s)
netlink              |   6.9b / 6.9b   (100% full) | 21.0 / 21 ( 81.5%) | 6.1s/growth (54 over 329s)
catalyst             |  11.5b / 11.5b  (100% full) | 32.4 / 23 ( 68.5%) | 16.6s/growth (31 over 516s)
syscore              | 588.5m / 14.7b  (4% full)   | 79.0 / 26 ( 15.8%) | 26s/growth (65 over 1692s)
rho-construction     |  10.2b / 17.4b  (58% full)  | 23.7 / 17 ( 66.9%) | 10.2s/growth (44 over 449s)
